City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Vaini,TO,-21.2,-175.2,75.36,94,20,5.75,few clouds
1,Puerto Ayora,EC,-0.7393,-90.3518,84.16,82,32,11.01,scattered clouds
2,Georgetown,MY,5.4112,100.3354,82.33,98,20,3.44,few clouds
3,San Quintin,MX,30.4833,-115.95,66.2,64,5,13.8,clear sky
4,Pacific Grove,US,36.6177,-121.9166,60.91,81,100,8.01,overcast clouds
5,Alofi,NU,-19.0595,-169.9187,71.49,100,95,2.3,overcast clouds
6,Kodiak,US,57.79,-152.4072,54.91,62,0,5.75,clear sky
7,Cape Town,ZA,-33.9258,18.4232,60.91,87,0,5.75,clear sky
8,Olafsvik,IS,64.8945,-23.7142,47.07,69,9,9.1,clear sky
9,Ushuaia,AR,-54.8,-68.3,37.06,87,40,29.93,light rain
10,Kirakira,SB,-10.4544,161.9205,76.89,84,98,1.16,overcast clouds
11,East London,ZA,-33.0153,27.9116,62.31,88,0,7.92,clear sky
12,Gijon,ES,43.5357,-5.6615,66.45,87,9,11.99,clear sky
13,Punta Arenas,CL,-53.15,-70.9167,42.91,75,40,25.32,scattered clouds
14,Bengkulu,ID,-3.8004,102.2655,75.88,90,100,6.24,overcast clouds
15,Xuddur,SO,4.1213,43.8894,79.25,60,80,15.48,broken clouds
16,Port Elizabeth,ZA,-33.918,25.5701,62.89,92,0,8.05,clear sky
17,Ibra,OM,22.6906,58.5334,84.72,44,0,6.02,clear sky
18,Bluff,NZ,-46.6,168.3333,37.8,86,97,11.45,overcast clouds
19,Shingu,JP,33.7333,135.9833,62.29,71,0,6.13,clear sky
20,Hermanus,ZA,-34.4187,19.2345,57.79,84,68,9.28,broken clouds
21,Bandarbeyla,SO,9.4942,50.8122,80.33,81,64,20.92,broken clouds
22,Praia Da Vitoria,PT,38.7333,-27.0667,68.25,77,40,13.91,scattered clouds
23,Salalah,OM,17.0151,54.0924,84.29,79,75,10.36,broken clouds
24,Butaritari,KI,3.0707,172.7902,79.84,78,20,5.86,moderate rain
25,Pangkalanbuun,ID,-2.6833,111.6167,72.03,93,59,2.42,broken clouds
26,Atuona,PF,-9.8,-139.0333,77.74,80,33,24.09,light rain
27,Sfantu Gheorghe,RO,45.8667,25.7833,61.27,84,3,2.42,clear sky
28,Honiara,SB,-9.4333,159.95,75.25,89,73,2.84,broken clouds
29,New Norfolk,AU,-42.7826,147.0587,42.3,87,100,3.13,overcast clouds
30,Stokmarknes,NO,68.5646,14.9108,51.76,81,0,6.91,clear sky
31,La Plata,AR,-34.9215,-57.9545,58.01,51,75,6.96,broken clouds
32,Lebu,CL,-37.6167,-73.65,49.42,65,100,16.2,overcast clouds
33,Sur,OM,22.5667,59.5289,90.28,49,0,9.33,clear sky
34,Chokurdakh,RU,70.6333,147.9167,28.06,82,100,7.65,overcast clouds
